Deal ID,Balance Off Balance,Main Type,Deal Type,Pay Recieve,Underlying,CCY,Notional,Maturity Date,Interest Type,Interest Change Date,Interest change N,Interest change freq,Interest percent,NPL-DELTA ILS,Portfolio,GAMMA ILS,VEGA ILS,Couterparty
2.04E+36,Balance,PAM,AGH       ,1,IR,CPE,15000000,7/31/2024,F,,M,0,0.04,22721461,0,,,COUNTRY_X
2.04E+36,Balance,ZCB,MKM       ,1,IR,ILS,92446800,7/6/2017,F,,M,0,0,92154142,0,,,COUNTRY_X
2.04E+36,Balance,PAM,AGH       ,1,IR,ILS,29808290,31/03/2023,F,,M,0,0.04,34838778,0,,,COUNTRY_X
2.04E+36,Balance,PAM,AGH       ,1,IR,USD,4000000,30/06/2022,F,,M,0,0.04,17512713,0,,,CORPORATE_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,-38000000,23/03/2026,F,,0,0,0.06,-53572103,DROOM     ,,,CORPORATE_OTC_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,38000000,23/03/2026,V,21/12/2016,Q,1,0,38000912,DROOM     ,,,CORPORATE_OTC_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,-38000000,23/03/2026,V,21/12/2016,Q,1,0,-38000912,ILS_FRA_NE,,,CORPORATE_OTC_X
1.51E+28,Offbalance,IRSWP,IRS       ,1,IR,ILS,38000000,23/03/2026,F,,0,0,0.06,53572103,ILS_FRA_NE,,,CORPORATE_OTC_X
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,2/3/2026,V,1/12/2016,Q,1,0.01,-18809796,DROOM     ,,,CORPORATE_OTC_X
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,2/3/2026,F,,0,0,0.02,19387696,DROOM     ,,,CORPORATE_OTC_X
2.19E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,24/11/2025,F,,0,0,0.02,-19261123,CY_BONDTRA,,,CORPORATE_OTC_X
2.19E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,24/11/2025,V,25/11/2016,Q,1,0.01,18812528,CY_BONDTRA,,,CORPORATE_OTC_X
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,16/03/2026,F,,0,0,0.02,-19463369,CY_BONDTRA,,,BANK_OTC_x
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,16/03/2026,V,15/12/2016,Q,1,0.01,18802192,CY_BONDTRA,,,BANK_OTC_x
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,16/03/2026,V,16/12/2016,Q,1,0.01,-18801745,DROOM     ,,,BANK_OTC_x
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,16/03/2026,F,,0,0,0.02,19306355,DROOM     ,,,BANK_OTC_x
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,16/03/2026,F,,0,0,0.02,-19350063,CY_BONDTRA,,,BANK_OTC_x
2.18E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,16/03/2026,V,15/12/2016,Q,1,0.01,18802192,CY_BONDTRA,,,BANK_OTC_x
2.24E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,16/03/2026,V,16/12/2016,Q,1,0.01,-18801745,DROOM     ,,,BANK_OTC_x
2.24E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,16/03/2026,F,,0,0,0.01,18897743,DROOM     ,,,BANK_OTC_x
2.22E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,-5000000,16/03/2026,F,,0,0,0.01,-18681271,CY_BONDTRA,,,BANK_OTC_x
2.22E+28,Offbalance,IRSWP,IRS       ,1,IR,USD,5000000,16/03/2026,V,16/12/2016,Q,1,0.01,18801745,CY_BONDTRA,,,BANK_OTC_x
8.27E+27,Offbalance,IRSWP,IRS       ,1,IR,ILS,-50000000,20/04/2017,V,20/10/2016,Q,1,0,-50008745,ILS_FRA_NE,,,BANK_OTC_x
8.27E+27,Offbalance,IRSWP,IRS       ,1,IR,ILS,50000000,20/04/2017,F,,0,0,0.05,52551514,ILS_FRA_NE,,,BANK_OTC_x
1.44E+28,Offbalance,IRSWP,IRSS      ,1,FX,EUR,-13000000,18/03/2020,V,20/03/2017,M,6,0,-54639000,CY_ISRTRA ,,,BANK_OTC_x
1.44E+28,Offbalance,IRSWP,IRSS      ,1,FX,EUR,13000000,18/03/2020,F,,0,0,0.03,62104786,CY_ISRTRA ,,,BANK_OTC_x
2.26E+28,Offbalance,FXOP,CALLKOP   ,1,FX,USD,-11880000,16/12/2016,,,,0,0,-40803825,SALES_I   ,2800,1400,CORPORATE_OTC_Y
2.26E+28,Offbalance,FXOP,CALLKOP   ,1,FX,EUR,11000000,16/12/2016,,,,0,0,42255159,SALES_I   ,2900,1450,CORPORATE_OTC_Y
2.26E+28,Offbalance,FXOP,CALLS     ,1,FX,EUR,-20000000,13/10/2016,,,,0,0,-19201490,CLS_IOHEDG,3000,1500,CORPORATE_OTC_Y
2.26E+28,Offbalance,FXOP,CALLS     ,1,FX,USD,22680000,13/10/2016,,,,0,0,19469077,CLS_IOHEDG,3100,-1550,CORPORATE_OTC_Y
2.26E+28,Offbalance,FXOP,PUTP      ,1,FX,EUR,-20000000,13/10/2016,,,,0,0,-16828896,CLS_IOHEDG,3200,1600,CORPORATE_OTC_Y
2.26E+28,Offbalance,FXOP,PUTP      ,1,FX,USD,22040000,13/10/2016,,,,0,0,16581912,CLS_IOHEDG,3300,165,CORPORATE_OTC_Y
2.26E+28,Offbalance,FXOP,CALLKOS   ,1,FX,EUR,-11000000,16/12/2016,,,,0,0,-42255159,CLS_OPTION,-3400,-1700,CORPORATE_OTC_Y
2.26E+28,Offbalance,FXOP,CALLKOS   ,1,FX,USD,11880000,16/12/2016,,,,0,0,40803825,CLS_OPTION,-3500,-1750,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDS      ,1,FX,GBP,-200000,11/5/2017,,,,0,0,-970921,SALES_I   ,,,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDS      ,1,FX,NOK,2223960,11/5/2017,,,,0,0,1039479,SALES_I   ,,,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDP      ,1,FX,CHF,-97320,27/10/2016,,,,0,0,-377650,SALES_I   ,,,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDP      ,1,FX,USD,99652,27/10/2016,,,,0,0,374356,SALES_I   ,,,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDS      ,1,FX,USD,-150000,7/11/2016,,,,0,0,-563388,SALES_I   ,,,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDS      ,1,FX,ILS,565080,7/11/2016,,,,0,0,565023,SALES_I   ,,,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDS      ,1,FX,USD,-200000,13/10/2016,,,,0,0,-751486,SALES_I   ,,,CORPORATE_OTC_Y
2.25E+28,Offbalance,FXOUT,FWDS      ,1,FX,ILS,754480,13/10/2016,,,,0,0,754455,SALES_I   ,,,CORPORATE_OTC_Y
2.24E+28,Offbalance,FXOUT,FWDP      ,1,FX,NOK,-2125600,11/5/2017,,,,0,0,-993505,SALES_I   ,,,CORPORATE_OTC_Y
2.24E+28,Offbalance,FXOUT,FWDP      ,1,FX,GBP,200000,11/5/2017,,,,0,0,970921,SALES_I   ,,,CORPORATE_OTC_Y
00110204008602941100D003777639700Y2050,Offbalance,FXSWP,CIRS      ,1,FX,CPE,-150151350,8/8/2018,F,, ,0,0,-148575258,0,,,CORPORATE_OTC_Y
00110204008602941100D003777639700Y2050,Offbalance,FXSWP,CIRS      ,1,FX,ILS,150000000,8/8/2018,F,, ,0,0,150665931,0,,,BANK_Y
